POS,Frequency
NOUN,111
VERB,81
ADV,31
PROPN,31
PRON,29
ADJ,21
ADP,20
NUM,12
SCONJ,6
AUX,5
PART,4
CCONJ,4
INTJ,3
X,1
VERB VERB,1
