p,b,t,d,k,g,s,z,m,n,l,r,w,j,h
bilabial,bilabial,alveolar,alveolar,velar,velar,alveolar,alveolar,bilabial,alveolar,alveolar,alveolar,labial-velar,palatal,glottal
stop,stop,stop,stop,stop,stop,fricative,fricative,nasal,nasal,lateral,trill,glide,glide,fricative
voiceless,voiced,voiceless,voiced,voiceless,voiced,voiceless,voiced,voiced,voiced,voiced,voiced,voiced,voiced,voiceless
